16
0.0000 1.4142 2.8284 4.2426 6.0000 10.8167 15.8114 14.4222 13.0384 15.0000 14.2127 13.6015 6.3246 6.0828 6.0000 6.0828
1.4142 0.0000 1.4142 2.8284 5.0990 10.6301 17.2047 15.8114 14.4222 16.4012 15.6205 15.0000 5.8310 5.3852 5.0990 5.0000
2.8284 1.4142 0.0000 1.4142 4.4721 10.6301 18.6011 17.2047 15.8114 17.8045 17.0294 16.4012 5.6569 5.0000 4.4721 4.1231
4.2426 2.8284 1.4142 0.0000 4.2426 10.8167 20.0000 18.6011 17.2047 19.2094 18.4391 17.8045 5.8310 5.0000 4.2426 3.6056
6.0000 5.0990 4.4721 4.2426 0.0000 6.7082 21.0238 19.6977 18.3848 20.1246 19.2354 18.7883 10.0000 9.2195 8.4853 7.8102
10.8167 10.6301 10.6301 10.8167 6.7082 0.0000 22.2036 21.0950 20.0250 21.2132 20.2237 20.0998 16.2788 15.6205 15.0000 14.4222
15.8114 17.2047 18.6011 20.0000 21.0238 22.2036 0.0000 1.4142 2.8284 1.0000 2.0000 2.2361 18.6011 19.2094 19.8494 20.5183
14.4222 15.8114 17.2047 18.6011 19.6977 21.0950 1.4142 0.0000 1.4142 1.0000 1.4142 1.0000 17.2047 17.8045 18.4391 19.1050
13.0384 14.4222 15.8114 17.2047 18.3848 20.0250 2.8284 1.4142 0.0000 2.2361 2.0000 1.0000 15.8114 16.4012 17.0294 17.6918
15.0000 16.4012 17.8045 19.2094 20.1246 21.2132 1.0000 1.0000 2.2361 0.0000 1.0000 1.4142 18.0278 18.6011 19.2094 19.8494
14.2127 15.6205 17.0294 18.4391 19.2354 20.2237 2.0000 1.4142 2.0000 1.0000 0.0000 1.0000 17.4929 18.0278 18.6011 19.2094
13.6015 15.0000 16.4012 17.8045 18.7883 20.0998 2.2361 1.0000 1.0000 1.4142 1.0000 0.0000 16.6433 17.2047 17.8045 18.4391
6.3246 5.8310 5.6569 5.8310 10.0000 16.2788 18.6011 17.2047 15.8114 18.0278 17.4929 16.6433 0.0000 1.0000 2.0000 3.0000
6.0828 5.3852 5.0000 5.0000 9.2195 15.6205 19.2094 17.8045 16.4012 18.6011 18.0278 17.2047 1.0000 0.0000 1.0000 2.0000
6.0000 5.0990 4.4721 4.2426 8.4853 15.0000 19.8494 18.4391 17.0294 19.2094 18.6011 17.8045 2.0000 1.0000 0.0000 1.0000
6.0828 5.0000 4.1231 3.6056 7.8102 14.4222 20.5183 19.1050 17.6918 19.8494 19.2094 18.4391 3.0000 2.0000 1.0000 0.0000
