64
0.0000 1.0000 2.0000 3.0000 3.0000 3.1623 3.6056 4.2426 1.0000 2.0000 3.1623 3.6056 18.0278 18.1108 18.2483 18.4391 22.1359 21.8403 21.5870 21.3776 9.8489 8.9443 8.0623 11.4018 10.6301 9.8995 10.2956 10.8167 8.6023 9.2195 6.0000 12.8062 7.2111 6.4031 5.6569 5.0000 9.2195 8.6023 8.0623 7.6158 7.8102 8.4853 5.8310 6.7082 11.4018 12.0416 12.7279 13.4536 1.0000 1.4142 2.2361 3.1623 2.2361 2.8284 16.1555 15.8114 15.5242 15.2971 28.1603 27.8927 27.6586 27.4591 11.1803 12.5300
1.0000 0.0000 1.0000 2.0000 3.1623 3.0000 3.1623 3.6056 1.4142 2.2361 2.2361 2.8284 18.0000 18.0278 18.1108 18.2483 22.4722 22.1359 21.8403 21.5870 10.7703 9.8489 8.9443 12.2066 11.4018 10.6301 11.1803 11.6619 9.4340 10.0000 7.0000 13.4536 8.0623 7.2111 6.4031 5.6569 9.8995 9.2195 8.6023 8.0623 8.6023 9.2195 6.4031 7.2111 10.8167 11.4018 12.0416 12.7279 1.4142 1.0000 1.4142 2.2361 2.0000 2.2361 16.5529 16.1555 15.8114 15.5242 28.4605 28.1603 27.8927 27.6586 10.7703 12.0830
2.0000 1.0000 0.0000 1.0000 3.6056 3.1623 3.0000 3.1623 2.2361 2.8284 1.4142 2.2361 18.0278 18.0000 18.0278 18.1108 22.8473 22.4722 22.1359 21.8403 11.7047 10.7703 9.8489 13.0384 12.2066 11.4018 12.0830 12.5300 10.2956 10.8167 8.0000 14.1421 8.9443 8.0623 7.2111 6.4031 10.6301 9.8995 9.2195 8.6023 9.4340 10.0000 7.0711 7.8102 10.2956 10.8167 11.4018 12.0416 2.2361 1.4142 1.0000 1.4142 2.2361 2.0000 17.0000 16.5529 16.1555 15.8114 28.7924 28.4605 28.1603 27.8927 10.4403 11.7047
3.0000 2.0000 1.0000 0.0000 4.2426 3.6056 3.1623 3.0000 3.1623 3.6056 1.0000 2.0000 18.1108 18.0278 18.0000 18.0278 23.2594 22.8473 22.4722 22.1359 12.6491 11.7047 10.7703 13.8924 13.0384 12.2066 13.0000 13.4164 11.1803 11.6619 9.0000 14.8661 9.8489 8.9443 8.0623 7.2111 11.4018 10.6301 9.8995 9.2195 10.2956 10.8167 7.8102 8.4853 9.8489 10.2956 10.8167 11.4018 3.1623 2.2361 1.4142 1.0000 2.8284 2.2361 17.4929 17.0000 16.5529 16.1555 29.1548 28.7924 28.4605 28.1603 10.1980 11.4018
3.0000 3.1623 3.6056 4.2426 0.0000 1.0000 2.0000 3.0000 2.0000 1.0000 3.6056 3.1623 15.0333 15.1327 15.2971 15.5242 19.3132 18.9737 18.6815 18.4391 9.0554 8.0623 7.0711 9.8489 8.9443 8.0623 9.2195 9.4868 7.2801 7.6158 6.7082 15.2643 6.0828 5.0990 4.1231 3.1623 7.2111 6.4031 5.6569 5.0000 6.3246 6.7082 3.6056 4.2426 9.2195 10.0000 10.8167 11.6619 4.0000 4.1231 4.4721 5.0000 1.4142 2.2361 13.4164 13.0000 12.6491 12.3693 25.2982 25.0000 24.7386 24.5153 8.6023 10.0000
3.1623 3.0000 3.1623 3.6056 1.0000 0.0000 1.0000 2.0000 2.2361 1.4142 2.8284 2.2361 15.0000 15.0333 15.1327 15.2971 19.6977 19.3132 18.9737 18.6815 10.0499 9.0554 8.0623 10.7703 9.8489 8.9443 10.1980 10.4403 8.2462 8.5440 7.6158 15.8114 7.0711 6.0828 5.0990 4.1231 8.0623 7.2111 6.4031 5.6569 7.2801 7.6158 4.4721 5.0000 8.4853 9.2195 10.0000 10.8167 4.1231 4.0000 4.1231 4.4721 1.0000 1.4142 13.8924 13.4164 13.0000 12.6491 25.6320 25.2982 25.0000 24.7386 8.0623 9.4340
3.6056 3.1623 3.0000 3.1623 2.0000 1.0000 0.0000 1.0000 2.8284 2.2361 2.2361 1.4142 15.0333 15.0000 15.0333 15.1327 20.1246 19.6977 19.3132 18.9737 11.0454 10.0499 9.0554 11.7047 10.7703 9.8489 11.1803 11.4018 9.2195 9.4868 8.5440 16.4012 8.0623 7.0711 6.0828 5.0990 8.9443 8.0623 7.2111 6.4031 8.2462 8.5440 5.3852 5.8310 7.8102 8.4853 9.2195 10.0000 4.4721 4.1231 4.0000 4.1231 1.4142 1.0000 14.4222 13.8924 13.4164 13.0000 26.0000 25.6320 25.2982 25.0000 7.6158 8.9443
4.2426 3.6056 3.1623 3.0000 3.0000 2.0000 1.0000 0.0000 3.6056 3.1623 2.0000 1.0000 15.1327 15.0333 15.0000 15.0333 20.5913 20.1246 19.6977 19.3132 12.0416 11.0454 10.0499 12.6491 11.7047 10.7703 12.1655 12.3693 10.1980 10.4403 9.4868 17.0294 9.0554 8.0623 7.0711 6.0828 9.8489 8.9443 8.0623 7.2111 9.2195 9.4868 6.3246 6.7082 7.2111 7.8102 8.4853 9.2195 5.0000 4.4721 4.1231 4.0000 2.2361 1.4142 15.0000 14.4222 13.8924 13.4164 26.4008 26.0000 25.6320 25.2982 7.2801 8.5440
1.0000 1.4142 2.2361 3.1623 2.0000 2.2361 2.8284 3.6056 0.0000 1.0000 3.0000 3.1623 17.0294 17.1172 17.2627 17.4642 21.1896 20.8806 20.6155 20.3961 9.4868 8.5440 7.6158 10.8167 10.0000 9.2195 9.8489 10.2956 8.0623 8.6023 6.0828 13.6015 6.7082 5.8310 5.0000 4.2426 8.4853 7.8102 7.2111 6.7082 7.2111 7.8102 5.0000 5.8310 10.6301 11.3137 12.0416 12.8062 2.0000 2.2361 2.8284 3.6056 1.4142 2.2361 15.2315 14.8661 14.5602 14.3178 27.2029 26.9258 26.6833 26.4764 10.2956 11.6619
2.0000 2.2361 2.8284 3.6056 1.0000 1.4142 2.2361 3.1623 1.0000 0.0000 3.1623 3.0000 16.0312 16.1245 16.2788 16.4924 20.2485 19.9249 19.6469 19.4165 9.2195 8.2462 7.2801 10.2956 9.4340 8.6023 9.4868 9.8489 7.6158 8.0623 6.3246 14.4222 6.3246 5.3852 4.4721 3.6056 7.8102 7.0711 6.4031 5.8310 6.7082 7.2111 4.2426 5.0000 9.8995 10.6301 11.4018 12.2066 3.0000 3.1623 3.6056 4.2426 1.0000 2.0000 14.3178 13.9284 13.6015 13.3417 26.2488 25.9615 25.7099 25.4951 9.4340 10.8167
