32
0.0000 1.4142 4.4721 4.1231 4.0000 4.1231 7.2801 7.0711 7.0000 7.0711 5.3852 6.3246 5.0990 6.0828 15.1327 15.2971 15.5242 15.8114 18.1108 18.2483 18.4391 18.6815 16.1245 17.1172 16.7631 17.7200 15.2971 14.1421 13.0384 12.0000 8.0000 17.0294
1.4142 0.0000 4.2426 3.6056 3.1623 3.0000 6.7082 6.3246 6.0828 6.0000 5.0000 5.8310 4.0000 5.0000 14.0357 14.1421 14.3178 14.5602 17.0294 17.1172 17.2627 17.4642 15.0333 16.0312 15.5242 16.4924 16.4924 15.2971 14.1421 13.0384 9.0554 16.1245
4.4721 4.2426 0.0000 1.0000 2.0000 3.0000 3.0000 3.1623 3.6056 4.2426 1.0000 2.0000 3.1623 3.6056 11.7047 12.0830 12.5300 13.0384 14.5602 14.8661 15.2315 15.6525 12.6491 13.6015 13.8924 14.7648 19.0263 18.0000 17.0294 16.1245 12.1655 13.0384
4.1231 3.6056 1.0000 0.0000 1.0000 2.0000 3.1623 3.0000 3.1623 3.6056 1.4142 2.2361 2.2361 2.8284 11.4018 11.7047 12.0830 12.5300 14.3178 14.5602 14.8661 15.2315 12.3693 13.3417 13.4164 14.3178 19.1050 18.0278 17.0000 16.0312 12.0416 13.0000
4.0000 3.1623 2.0000 1.0000 0.0000 1.0000 3.6056 3.1623 3.0000 3.1623 2.2361 2.8284 1.4142 2.2361 11.1803 11.4018 11.7047 12.0830 14.1421 14.3178 14.5602 14.8661 12.1655 13.1529 13.0000 13.9284 19.2354 18.1108 17.0294 16.0000 12.0000 13.0384
4.1231 3.0000 3.0000 2.0000 1.0000 0.0000 4.2426 3.6056 3.1623 3.0000 3.1623 3.6056 1.0000 2.0000 11.0454 11.1803 11.4018 11.7047 14.0357 14.1421 14.3178 14.5602 12.0416 13.0384 12.6491 13.6015 19.4165 18.2483 17.1172 16.0312 12.0416 13.1529
7.2801 6.7082 3.0000 3.1623 3.6056 4.2426 0.0000 1.0000 2.0000 3.0000 2.0000 1.0000 3.6056 3.1623 8.9443 9.4340 10.0000 10.6301 11.7047 12.0830 12.5300 13.0384 9.8489 10.7703 11.4018 12.2066 22.0227 21.0000 20.0250 19.1050 15.1327 10.0499
7.0711 6.3246 3.1623 3.0000 3.1623 3.6056 1.0000 0.0000 1.0000 2.0000 2.2361 1.4142 2.8284 2.2361 8.5440 8.9443 9.4340 10.0000 11.4018 11.7047 12.0830 12.5300 9.4868 10.4403 10.8167 11.6619 22.0907 21.0238 20.0000 19.0263 15.0333 10.0000
7.0000 6.0828 3.6056 3.1623 3.0000 3.1623 2.0000 1.0000 0.0000 1.0000 2.8284 2.2361 2.2361 1.4142 8.2462 8.5440 8.9443 9.4340 11.1803 11.4018 11.7047 12.0830 9.2195 10.1980 10.2956 11.1803 22.2036 21.0950 20.0250 19.0000 15.0000 10.0499
7.0711 6.0000 4.2426 3.6056 3.1623 3.0000 3.0000 2.0000 1.0000 0.0000 3.6056 3.1623 2.0000 1.0000 8.0623 8.2462 8.5440 8.9443 11.0454 11.1803 11.4018 11.7047 9.0554 10.0499 9.8489 10.7703 22.3607 21.2132 20.0998 19.0263 15.0333 10.1980
5.3852 5.0000 1.0000 1.4142 2.2361 3.1623 2.0000 2.2361 2.8284 3.6056 0.0000 1.0000 3.0000 3.1623 10.7703 11.1803 11.6619 12.2066 13.6015 13.9284 14.3178 14.7648 11.7047 12.6491 13.0384 13.8924 20.0250 19.0000 18.0278 17.1172 13.1529 12.0416
6.3246 5.8310 2.0000 2.2361 2.8284 3.6056 1.0000 1.4142 2.2361 3.1623 1.0000 0.0000 3.1623 3.0000 9.8489 10.2956 10.8167 11.4018 12.6491 13.0000 13.4164 13.8924 10.7703 11.7047 12.2066 13.0384 21.0238 20.0000 19.0263 18.1108 14.1421 11.0454
5.0990 4.0000 3.1623 2.2361 1.4142 1.0000 3.6056 2.8284 2.2361 2.0000 3.0000 3.1623 0.0000 1.0000 10.0499 10.1980 10.4403 10.7703 13.0384 13.1529 13.3417 13.6015 11.0454 12.0416 11.7047 12.6491 20.3961 19.2354 18.1108 17.0294 13.0384 12.1655
6.0828 5.0000 3.6056 2.8284 2.2361 2.0000 3.1623 2.2361 1.4142 1.0000 3.1623 3.0000 1.0000 0.0000 9.0554 9.2195 9.4868 9.8489 12.0416 12.1655 12.3693 12.6491 10.0499 11.0454 10.7703 11.7047 21.3776 20.2237 19.1050 18.0278 14.0357 11.1803
